,ids,cloud_covers,Coverage Percent
0,0,96.32500076293904,96.33
1,1,96.97500038147007,96.98
2,2,95.54999923706104,95.55
3,3,98.19999885559102,98.2
4,4,89.22499942779663,89.22
5,5,80.37500000000223,80.38
6,6,83.87500095367494,83.88
7,7,90.1750011444087,90.18
8,8,97.10000038146966,97.1
9,9,100.0,100.0
10,10,99.79999923706058,99.8
11,11,99.1749992370605,99.17
12,12,99.37499999999993,99.37
13,13,99.35000038146967,99.35
14,14,98.55000114440904,98.55
15,15,99.20000076293937,99.2
16,16,100.0,100.0
17,17,91.39999961852934,91.4
18,18,73.92500019073222,73.93
19,19,60.72500133514315,60.73
20,20,33.10000061988904,33.1
21,21,27.200000047682934,27.2
22,22,70.87500095367334,70.88
23,23,98.57500076293928,98.58
24,24,99.04999923706059,99.05
25,25,58.024999141692874,58.02
26,26,44.55000066757168,44.55
27,27,83.97500038147022,83.98
28,28,83.67500019073427,83.68
29,29,46.92500066757124,46.93
30,30,12.575000122189437,12.58
31,31,1.7000000029800566,1.7
32,32,1.1249999701975497,1.12
33,33,8.950000137090983,8.95
34,34,8.600000143051489,8.6
35,35,0.0,0.0
36,36,0.0,0.0
37,37,0.0,0.0
38,38,0.0,0.0
39,39,0.0,0.0
40,40,0.0,0.0
41,41,0.0,0.0
42,42,0.0,0.0
43,43,1.1500000357627447,1.15
44,44,3.6500000357627336,3.65
45,45,5.0,5.0
46,46,5.3500000238418135,5.35
47,47,7.700000047683346,7.7
48,48,7.274999976157867,7.27
49,49,4.924999952316268,4.92
50,50,5.024999976158133,5.02
51,51,4.97500002384185,4.98
52,52,4.95000004768371,4.95
53,53,5.0,5.0
54,54,5.0,5.0
55,55,5.0,5.0
56,56,23.249999999999098,23.25
57,57,70.67499923705948,70.67
58,58,90.8999977111821,90.9
59,59,44.59999847412216,44.6
60,60,3.6250000000002647,3.63
61,61,0.0,0.0
62,62,0.050000000745063035,0.05
63,63,0.050000000745064097,0.05
64,64,0.0,0.0
65,65,0.0,0.0
66,66,2.3999999761580115,2.4
67,67,14.075000405310684,14.08
68,68,15.800000526010667,15.8
69,69,26.199999906123736,26.2
70,70,30.374999761582213,30.37
71,71,8.299999952316472,8.3
72,72,77.49999999999828,77.5
73,73,99.14999961853019,99.15
74,74,100.0,100.0
75,75,100.0,100.0
76,76,100.0,100.0
77,77,99.875,99.88
78,78,80.97500038146877,80.98
79,79,72.92500114440769,72.93
80,80,91.82500076293891,91.83
81,81,99.97500038146973,99.98
82,82,98.27499961853007,98.27
83,83,95.64999961852992,95.65
84,84,97.35000038146956,97.35
85,85,99.0249996185303,99.02
86,86,93.200000762939,93.2
87,87,91.42500114440837,91.43
88,88,88.87499999999874,88.87
89,89,82.27499961853017,82.27
90,90,74.34999942779812,74.35
91,91,76.02500057220722,76.03
92,92,48.67500090599164,48.68
93,93,23.299999952316526,23.3
94,94,62.275000572204206,62.28
95,95,94.30000114440884,94.3
96,96,98.3249988555907,98.32
97,97,59.19999837875461,59.2
98,98,45.30000066757208,45.3
