,Time,Longitude,Latitude,ids
0,0.0,-75.625,10.375,5153
1,0.25,-75.625,10.375,5153
2,0.5,-75.625,10.375,5153
3,0.75,-75.625,10.375,5153
4,1.0,-75.625,10.375,5153
5,1.25,-75.625,10.375,5153
6,1.5,-75.625,10.375,5153
7,1.75,-75.625,10.375,5153
8,2.0,-75.625,10.375,5153
9,2.25,-75.625,10.375,5153
10,2.5,-75.625,10.375,5153
11,2.75,-75.625,10.375,5153
12,3.0,-75.625,10.375,5153
13,3.25,-75.625,10.375,5153
14,3.5,-75.625,10.375,5153
15,3.75,-75.625,10.375,5153
16,4.0,-75.625,10.375,5153
17,4.25,-75.625,10.375,5153
18,4.5,-75.625,10.375,5153
19,4.75,-75.625,10.375,5153
20,5.0,-75.625,10.375,5153
21,5.25,-75.625,10.375,5153
22,5.5,-75.625,10.375,5153
23,5.75,-75.625,10.375,5153
24,6.0,-75.625,10.375,5153
25,6.25,-75.625,10.375,5153
26,6.5,-75.625,10.375,5153
27,6.75,-75.625,10.375,5153
28,7.0,-75.625,10.375,5153
29,7.25,-75.625,10.375,5153
30,7.5,-75.625,10.375,5153
31,7.75,-75.625,10.375,5153
32,8.0,-75.625,10.375,5153
33,8.25,-75.625,10.375,5153
34,8.5,-75.625,10.375,5153
35,8.75,-75.625,10.375,5153
36,9.0,-75.625,10.375,5153
37,9.25,-75.625,10.375,5153
38,9.5,-75.625,10.375,5153
39,9.75,-75.625,10.375,5153
40,10.0,-75.625,10.375,5153
41,10.25,-75.625,10.375,5153
42,10.5,-75.625,10.375,5153
43,10.75,-75.625,10.375,5153
44,11.0,-75.625,10.375,5153
45,11.25,-75.625,10.375,5153
46,11.5,-75.625,10.375,5153
47,11.75,-75.625,10.375,5153
48,12.0,-75.625,10.375,5153
49,12.25,-75.625,10.375,5153
50,12.5,-75.625,10.375,5153
51,12.75,-75.625,10.375,5153
52,13.0,-75.625,10.375,5153
53,13.25,-75.625,10.375,5153
54,13.5,-75.625,10.375,5153
55,13.75,-75.625,10.375,5153
56,14.0,-75.625,10.375,5153
57,14.25,-75.625,10.375,5153
58,14.5,-75.625,10.375,5153
59,14.75,-75.625,10.375,5153
60,15.0,-75.625,10.375,5153
61,15.25,-75.625,10.375,5153
62,15.5,-75.625,10.375,5153
63,15.75,-75.875,10.375,5081
64,16.0,-75.875,10.375,5081
65,16.25,-75.875,10.625,5082
66,16.5,-76.125,10.625,5010
67,16.75,-76.125,10.625,5010
68,17.0,-76.125,10.625,5010
69,17.25,-76.375,10.625,4938
70,17.5,-76.375,10.875,4939
71,17.75,-76.625,10.875,4867
72,18.0,-76.625,10.875,4867
73,18.25,-76.625,10.875,4867
74,18.5,-76.875,10.875,4795
75,18.75,-76.875,11.125,4796
76,19.0,-76.875,11.125,4796
77,19.25,-77.125,11.125,4724
78,19.5,-77.125,11.125,4724
79,19.75,-77.125,11.125,4724
80,20.0,-77.375,11.375,4653
81,20.25,-77.375,11.375,4653
82,20.5,-77.625,11.375,4581
83,20.75,-77.625,11.375,4581
84,21.0,-77.625,11.375,4581
85,21.25,-77.875,11.625,4510
86,21.5,-77.875,11.625,4510
87,21.75,-77.875,11.625,4510
88,22.0,-78.125,11.625,4438
89,22.25,-78.125,11.625,4438
90,22.5,-78.125,11.875,4439
91,22.75,-78.375,11.875,4367
92,23.0,-78.375,11.875,4367
93,23.25,-78.625,11.875,4295
94,23.5,-78.625,11.875,4295
95,23.75,-78.625,12.125,4296
96,24.0,-78.875,12.125,4224
97,24.25,-78.875,12.125,4224
98,24.5,-78.875,12.125,4224
99,24.75,-79.125,12.125,4152
100,25.0,-79.125,12.375,4153
101,25.25,-79.125,12.375,4153
102,25.5,-79.375,12.375,4081
103,25.75,-79.375,12.375,4081
104,26.0,-79.375,12.625,4082
105,26.25,-79.625,12.625,4010
106,26.5,-79.625,12.625,4010
107,26.75,-79.875,12.625,3938
108,27.0,-79.875,12.625,3938
109,27.25,-79.875,12.875,3939
110,27.5,-80.125,12.875,3867
111,27.75,-80.125,12.875,3867
112,28.0,-80.125,12.875,3867
113,28.25,-80.375,12.875,3795
114,28.5,-80.375,13.125,3796
115,28.75,-80.375,13.125,3796
116,29.0,-80.625,13.125,3724
117,29.25,-80.625,13.125,3724
118,29.5,-80.875,13.125,3652
119,29.75,-80.875,13.375,3653
