,time,crumb_id,geometry,Longitude,Latitude,Iteration
0,0,0,POINT (-81.01487 -3.1769605),-81.01487,-3.1769605,track_500
1,1,1,POINT (-81.94486999999999 -3.1769605),-81.94487,-3.1769605,track_500
2,2,2,POINT (-82.87487 -3.1769605),-82.87487,-3.1769605,track_500
3,3,3,POINT (-83.80486999999999 -3.1769605),-83.80487,-3.1769605,track_500
4,4,4,POINT (-84.73487 -3.1769605),-84.73487,-3.1769605,track_500
5,5,5,POINT (-84.73487 -2.2969605),-84.73487,-2.2969605,track_500
6,6,6,POINT (-84.73487 -1.4169605),-84.73487,-1.4169605,track_500
7,7,7,POINT (-84.73487 -0.5369605),-84.73487,-0.5369605,track_500
8,8,8,POINT (-84.73487 0.3430395),-84.73487,0.3430395,track_500
9,9,9,POINT (-85.66486999999999 0.3430395),-85.66487,0.3430395,track_500
10,10,10,POINT (-85.66486999999999 1.2230395),-85.66487,1.2230395,track_500
11,11,11,POINT (-85.66486999999999 2.1030395),-85.66487,2.1030395,track_500
12,12,12,POINT (-86.59487 2.1030395),-86.59487,2.1030395,track_500
13,13,13,POINT (-86.59487 2.9830395),-86.59487,2.9830395,track_500
14,14,14,POINT (-86.59487 3.8630395),-86.59487,3.8630395,track_500
15,15,15,POINT (-87.52487000000001 3.8630395),-87.52487,3.8630395,track_500
16,16,16,POINT (-88.45487 3.8630395),-88.45487,3.8630395,track_500
17,17,17,POINT (-89.38487000000001 3.8630395),-89.38487,3.8630395,track_500
18,18,18,POINT (-89.38487000000001 4.7430395),-89.38487,4.7430395,track_500
19,19,19,POINT (-89.38487000000001 5.6230395),-89.38487,5.6230395,track_500
20,20,20,POINT (-90.31487 5.6230395),-90.31487,5.6230395,track_500
21,21,21,POINT (-91.24487000000001 5.6230395),-91.24487,5.6230395,track_500
22,22,22,POINT (-92.17487 5.6230395),-92.17487,5.6230395,track_500
23,23,23,POINT (-93.10487000000001 5.6230395),-93.10487,5.6230395,track_500
24,24,24,POINT (-93.10487000000001 6.5030395),-93.10487,6.5030395,track_500
25,25,25,POINT (-94.03487 6.5030395),-94.03487,6.5030395,track_500
26,26,26,POINT (-94.03487 7.3830395),-94.03487,7.3830395,track_500
27,27,27,POINT (-94.96487 7.3830395),-94.96487,7.3830395,track_500
28,28,28,POINT (-94.96487 8.2630395),-94.96487,8.2630395,track_500
29,29,29,POINT (-95.89487 8.2630395),-95.89487,8.2630395,track_500
30,30,30,POINT (-96.82487 8.2630395),-96.82487,8.2630395,track_500
31,31,31,POINT (-97.75487 8.2630395),-97.75487,8.2630395,track_500
32,32,32,POINT (-98.68487 8.2630395),-98.68487,8.2630395,track_500
33,33,33,POINT (-98.68487 9.1430395),-98.68487,9.1430395,track_500
34,34,34,POINT (-98.68487 10.0230395),-98.68487,10.0230395,track_500
35,35,35,POINT (-98.68487 10.9030395),-98.68487,10.9030395,track_500
36,36,36,POINT (-98.68487 11.7830395),-98.68487,11.7830395,track_500
37,37,37,POINT (-98.68487 12.6630395),-98.68487,12.6630395,track_500
38,38,38,POINT (-98.68487 13.5430395),-98.68487,13.5430395,track_500
39,39,39,POINT (-97.75487 13.5430395),-97.75487,13.5430395,track_500
40,40,40,POINT (-97.75487 14.4230395),-97.75487,14.4230395,track_500
41,41,41,POINT (-97.75487 13.5430395),-97.75487,13.5430395,track_500
42,42,42,POINT (-98.68487 13.5430395),-98.68487,13.5430395,track_500
43,43,43,POINT (-98.68487 14.4230395),-98.68487,14.4230395,track_500
44,44,44,POINT (-98.68487 15.3030395),-98.68487,15.3030395,track_500
45,45,45,POINT (-98.68487 16.1830395),-98.68487,16.1830395,track_500
46,46,46,POINT (-98.68487 17.0630395),-98.68487,17.0630395,track_500
