,Unnamed: 0,Unnamed: 0.1,Name,time,geometry_x,ids,dist,Unnamed: 0.1.1,geometry_y,Longitude,Latitude,0,time30,time15
0,0,0,0,0.0,POINT (-93 13.5),164,0.2294032869327391,164,POINT (-92.77083333333336 13.51041666666666),-92.77083333333336,13.510416666666664,0.0,0.0,0.0
1,1,0,0,0.0,POINT (-93 13.5),164,0.2294032869327391,164,POINT (-92.77083333333336 13.51041666666666),-92.77083333333336,13.510416666666664,0.0,0.0,0.25
2,2,1,1,0.5,POINT (-92.88575840026542 13.34577231213176),164,0.2007872866731163,164,POINT (-92.77083333333336 13.51041666666666),-92.77083333333336,13.510416666666664,0.0,0.5,0.5
3,3,2,2,1.0,POINT (-92.77151680053083 13.19154462426353),164,0.318872774870727,164,POINT (-92.77083333333336 13.51041666666666),-92.77083333333336,13.510416666666664,1.0,1.0,0.75
4,4,2,2,1.0,POINT (-92.77151680053083 13.19154462426353),164,0.318872774870727,164,POINT (-92.77083333333336 13.51041666666666),-92.77083333333336,13.510416666666664,1.0,1.0,1.0
5,5,2,2,1.0,POINT (-92.77151680053083 13.19154462426353),164,0.318872774870727,164,POINT (-92.77083333333336 13.51041666666666),-92.77083333333336,13.510416666666664,1.0,1.0,1.25
6,6,3,3,1.5,POINT (-92.65727520079624 13.03731693639529),163,0.3976272871408792,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,2.0,1.5,1.5
7,7,4,4,2.0,POINT (-92.54303360106165 12.88308924852706),163,0.3214790237253158,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,2.0,2.0,1.75
8,8,4,4,2.0,POINT (-92.54303360106165 12.88308924852706),163,0.3214790237253158,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,2.0,2.0,2.0
9,9,4,4,2.0,POINT (-92.54303360106165 12.88308924852706),163,0.3214790237253158,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,2.0,2.0,2.25
10,10,5,5,2.5,POINT (-92.42879200132707 12.72886156065882),163,0.3496637120748254,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,2.0,2.5,2.5
11,11,6,6,3.0,POINT (-92.31455040159247 12.57463387279058),163,0.4635248709818299,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,3.0,3.0,2.75
12,12,6,6,3.0,POINT (-92.31455040159247 12.57463387279058),163,0.4635248709818299,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,3.0,3.0,3.0
13,13,6,6,3.0,POINT (-92.31455040159247 12.57463387279058),163,0.4635248709818299,163,POINT (-92.77083333333336 12.65625),-92.77083333333336,12.656249999999996,3.0,3.0,3.25
14,14,7,7,3.5,POINT (-92.20030880185789 12.42040618492235),187,0.4538920267077069,187,POINT (-91.8125 12.65625),-91.8125,12.656249999999996,4.0,3.5,3.5
15,15,8,8,4.0,POINT (-92.0860672021233 12.26617849705411),187,0.4764397039374798,187,POINT (-91.8125 12.65625),-91.8125,12.656249999999996,4.0,4.0,3.75
16,16,8,8,4.0,POINT (-92.0860672021233 12.26617849705411),187,0.4764397039374798,187,POINT (-91.8125 12.65625),-91.8125,12.656249999999996,4.0,4.0,4.0
17,17,8,8,4.0,POINT (-92.0860672021233 12.26617849705411),187,0.4764397039374798,187,POINT (-91.8125 12.65625),-91.8125,12.656249999999996,4.0,4.0,4.25
18,18,9,9,4.5,POINT (-91.97182560238872 12.11195080918588),186,0.3484286155983102,186,POINT (-91.8125 11.80208333333333),-91.8125,11.802083333333332,4.0,4.5,4.5
19,19,10,10,5.0,POINT (-91.85758400265414 11.95772312131764),186,0.162037992147269,186,POINT (-91.8125 11.80208333333333),-91.8125,11.802083333333332,5.0,5.0,4.75
20,20,10,10,5.0,POINT (-91.85758400265414 11.95772312131764),186,0.162037992147269,186,POINT (-91.8125 11.80208333333333),-91.8125,11.802083333333332,5.0,5.0,5.0
21,21,10,10,5.0,POINT (-91.85758400265414 11.95772312131764),186,0.162037992147269,186,POINT (-91.8125 11.80208333333333),-91.8125,11.802083333333332,5.0,5.0,5.25
