Longitude,Latitude
-102.1337322,12.83719024
-96.71612674,15.32138086
-96.71675355,15.22015747
-96.71732812,15.12736937
-96.62651941,15.30029266
-96.60917252,15.20328691
-96.60972097,15.11471645
-96.54646044,15.18641635
-95.2542066,15.83499582
-95.26643929,15.69976352
-95.24176215,15.59037264
-95.22261203,15.94559175
-95.18752335,15.52551469
-95.150369,16.01869753
-95.14252695,15.83593308
-95.15224942,15.71502737
-95.12850885,15.6154107
-95.10964672,15.92872118
-95.0776703,15.54431332
-95.0621981,15.76563906
-95.05393818,15.65035687
-95.08588446,6.802512638
-95.04350183,15.88654477
-95.02852462,6.711769451
-94.98755643,6.872295428
-94.99352614,6.566963772
-94.96088166,10.38955251
-94.94929922,6.463280094
-94.91176086,6.728640015
-94.91075101,6.891722138
-94.89341282,6.793310512
-94.88177957,6.601709101
-94.80565315,15.95939494
-94.79025078,16.2070855
-94.84956068,6.468083519
-94.76409986,16.08266508
-94.73132358,15.86883068
-94.76769094,11.87978571
-94.77038248,11.75566655
-94.82226671,6.689275365
-94.74368132,11.65109583
-94.80508522,6.565557892
-94.72229917,12.0300871
-94.68251305,16.21552078
-94.68719986,14.79992705
-94.69215892,14.65780532
-94.69278572,14.55658194
-94.69975771,14.46580223
-94.78760774,6.489640351
-94.66519227,16.11429739
-94.66581908,16.01307401
-94.63964059,15.89310555
-94.62758964,14.94085591
-94.649049,11.88942603
-94.65616276,11.77575056
-94.65100152,11.60596347
-94.606053,14.43356741
-94.61852647,12.05692663
-94.62095848,11.95401619
-94.57045165,16.1975958
-94.57838573,14.77140046
-94.5845953,14.638123
-94.5852221,14.53689961
-94.6153402,11.12229736
-94.63415138,10.98283403
-94.59340194,16.11429739
-94.59402875,16.01307401
-94.55588056,14.92773436
-94.5410092,11.82242579
-94.54901702,11.68858597
-94.57356523,11.58876847
-94.51015297,14.44531655
-94.52928477,11.97679145
-94.50290837,14.78714632
-94.50353518,14.68592293
-94.50416199,14.58469955
-94.48512097,11.86291514
-94.48595672,11.72795063
-94.21929199,12.76549034
-94.21390493,12.18626763
-94.16684806,11.95992089
-94.14942909,13.17881917
-94.14567347,13.06072522
-94.14630027,12.95950183
-94.14150102,12.86502667
-94.14268419,12.09428288
-94.15366961,11.7694241
-94.1683221,12.30154982
-94.10269654,12.75518055
-94.14204216,11.61829196
-94.08609021,13.26317199
-94.12836314,11.50863329
-94.11113051,11.39317536
-94.09683009,11.12623383
-94.16350613,7.282556882
-94.10801279,11.89665627
-94.07576356,11.30787357
-94.0306,13.09446635
-94.03861477,12.95950183
-94.03924158,12.85827845
-94.05062112,12.05572159
-94.06732255,11.22183369
-94.04165479,11.01938692
-94.05139468,10.89566944
-94.05846367,10.78922422
-94.03019858,10.69568296
-94.09680861,6.460116864
-94.00101678,12.75143154
-94.00104812,13.22943086
-93.97461775,12.66707872
-94.04102798,11.1206103
-93.93911956,13.08603107
-93.93092928,12.95950183
-93.92615091,12.86165256
-93.95428307,12.08645012
-93.97024751,10.95752818
-93.96188311,10.85911655
-93.94139981,10.60989231
-93.95190251,10.29711587
-93.94458845,10.75367553
-93.8982465,12.44073197
-93.87436086,12.74095134
-93.89735852,12.58413177
-93.90675123,10.19779043
-93.90380158,7.196095239
-93.8859663,10.07632236
-93.90824303,9.956878765
-93.83357173,14.18999863
-93.80726019,15.5406982
-93.86863507,12.87514901
-93.88258154,10.62292865
-93.86056435,9.830949374
-93.85984802,9.584334525
-93.7899249,15.44181795
-93.81857058,12.26499693
-93.8536509,9.498224352
-93.83860404,7.580603522
-93.84655788,7.455480168
-93.78678031,12.18176881
-93.77312183,14.29087055
-93.82307663,7.189768778
-93.80571232,7.095574793
-93.77070688,15.16392226
-93.77747291,15.03739303
-93.78796845,11.41022166
-93.8186263,9.357636315
-93.78400694,6.977832311
-93.8293447,6.177534908
-93.81279699,7.400650834
-93.69071843,15.52171881
-93.69120159,15.44369245
-93.70798697,12.00842376
-93.71060202,11.89665627
-93.72620057,8.96358813
-93.72304863,8.85151938
-93.72367543,8.750295993
-93.72430224,8.649072606
-93.73134636,8.546644179
-93.70255986,12.16025884
-93.70763439,8.442408191
-93.68878316,7.139157084
-93.64189797,11.81230345
-93.65165527,11.68577421
-93.66130157,11.57716996
-93.69029272,11.2429219
-93.69931352,8.336967163
-93.60086298,15.5406982
-93.6349613,11.48332744
-93.62301018,11.96413853
-93.66059772,8.792472404
-93.65222462,8.695466658
-93.63461134,8.158420356
-93.57015813,13.25333083
-93.62027312,8.058602849
-93.61191569,7.959066518
-93.61259865,7.848775203
-93.58983118,7.177959383
-93.53102011,13.77702127
-93.58821192,11.7869976
-93.56698405,7.76216293
-93.49590201,15.39055018
-93.47792816,15.51900747
-93.57775469,7.679015148
-93.47628503,13.92112401
-93.48464992,13.60540344
-93.51307165,10.07369805
-93.50568324,9.832312652
-93.52010582,7.327545054
-93.51488591,7.028731571
-93.46108843,13.47686581
-93.48933307,13.26317199
-93.48249042,10.22767543
-93.54071037,7.864591357
-93.42469147,15.29691854
-93.48224666,7.16165117
-93.41409529,13.81990062
-93.42380036,13.70180667
-93.45893291,10.92659881
-93.44572437,6.867694365
-93.3765182,15.5406982
-93.377145,15.43947481
-93.42457342,6.745108899
-93.38680828,13.8789476
-93.36934722,13.59335304
-93.40375611,7.08432775
-93.4072825,6.639065351
-93.33869037,15.19408478
-93.35270901,13.45718349
-93.37248573,10.39517603
-93.39556269,6.50744817
-93.40442679,5.237000938
-93.32392906,15.33825143
-93.31176995,13.74474993
-93.33094455,10.6482345
-93.33591153,10.5048347
-93.35822017,6.243483479
-93.36319506,6.098805607
-93.36377834,6.004611622
-93.28402233,14.53689961
-93.36711957,6.914216224
-93.34206021,6.406492569
-93.2688327,15.5406982
-93.2694595,15.43947481
-93.27603471,14.66747778
-93.33207756,6.776439948
-93.26166172,13.59335304
-93.28641987,9.802175689
-93.31038689,7.091075975
-93.30083817,6.668655786
-93.23481795,15.23702804
-93.23544476,15.13580465
-93.25082475,13.45718349
-93.25421859,10.39134181
-93.28229861,6.534226843
-93.28986522,5.188076301
-93.21624356,15.33825143
-93.26826509,5.810131504
-93.26349439,10.60605809
-93.2549907,10.53014055
