,Time,dlat,dlon,Latitude,Longitude,Drone
0,0.0,0.0,0.0,11.08349584,-83.26511656,1
1,0.25,0.0,0.0,11.07844074,-83.24590857,1
2,0.5,0.0,0.0,11.07338564,-83.22670058,1
3,0.75,0.0,0.0,11.06833054,-83.20749259,1
4,1.0,0.0,0.0,11.06327543,-83.18828461,1
5,1.25,0.0,0.0,11.05822033,-83.16907662,1
6,1.5,0.0,0.0,11.05316523,-83.14986863,1
7,1.75,0.0,0.0,11.04811013,-83.13066064,1
8,2.0,0.0,0.0,11.04305503,-83.11145266,1
9,2.25,0.0,0.0,11.03799993,-83.09224467,1
10,2.5,0.0,0.0,11.03294483,-83.07303668,1
11,2.75,0.0,0.0,11.02788973,-83.05382869,1
12,3.0,0.0,0.0,11.02283463,-83.03462071,1
13,3.25,0.0,0.0,11.01777953,-83.01541272,1
14,3.5,0.0,0.0,11.01272443,-82.99620473,1
15,3.75,0.0,0.0,11.00766933,-82.97699674,1
16,4.0,0.0,0.0,11.00261423,-82.95778875,1
17,4.25,0.0,0.0,10.99755912,-82.93858077,1
18,4.5,0.0,0.0,10.99250402,-82.91937278,1
19,4.75,0.0,0.0,10.98744892,-82.90016479,1
20,5.0,0.0,0.0,10.98239382,-82.8809568,1
21,5.25,0.0,0.0,10.97733872,-82.86174882,1
22,5.5,0.0,0.0,10.97228362,-82.84254083,1
23,5.75,0.0,0.0,10.96722852,-82.82333284,1
24,6.0,0.0,0.0,10.96217342,-82.80412485,1
25,6.25,0.0,0.0,10.95711832,-82.78491687,1
26,6.5,0.0,0.0,10.95206322,-82.76570888,1
27,6.75,0.0,0.0,10.94700812,-82.74650089,1
28,7.0,0.0,0.0,10.94195302,-82.7272929,1
29,7.25,0.0,0.0,10.93689792,-82.70808492,1
30,7.5,0.0,0.0,10.93184281,-82.68887693,1
31,7.75,0.0,0.0,10.92678771,-82.66966894,1
32,8.0,0.0,0.0,10.92173261,-82.65046095,1
33,8.25,0.0,0.0,10.91667751,-82.63125297,1
34,8.5,0.0,0.0,10.91162241,-82.61204498,1
35,8.75,0.0,0.0,10.90656731,-82.59283699,1
36,9.0,0.0,0.0,10.90151221,-82.573629,1
37,9.25,0.0,0.0,10.89645711,-82.55442101,1
38,9.5,0.0,0.0,10.89140201,-82.53521303,1
39,9.75,0.0,0.0,10.88634691,-82.51600504,1
40,10.0,0.0,0.0,10.88129181,-82.49679705,1
