,Time,Longitude,Latitude,ids
0,0.0,-80.375,12.625,3794
1,0.25,-80.375,12.625,3794
2,0.5,-80.375,12.625,3794
3,0.75,-80.375,12.625,3794
4,1.0,-80.375,12.625,3794
5,1.25,-80.375,12.625,3794
6,1.5,-80.375,12.625,3794
7,1.75,-80.375,12.625,3794
8,2.0,-80.375,12.625,3794
9,2.25,-80.375,12.875,3795
10,2.5,-80.375,12.875,3795
11,2.75,-80.125,12.875,3867
12,3.0,-80.125,12.875,3867
13,3.25,-80.125,12.875,3867
14,3.5,-80.125,12.875,3867
15,3.75,-80.125,12.875,3867
16,4.0,-80.125,12.875,3867
17,4.25,-80.125,12.875,3867
18,4.5,-80.125,12.875,3867
19,4.75,-80.125,12.875,3867
20,5.0,-80.125,12.875,3867
21,5.25,-80.125,12.875,3867
22,5.5,-80.125,13.125,3868
23,5.75,-80.125,13.125,3868
24,6.0,-80.125,13.125,3868
25,6.25,-79.875,13.125,3940
26,6.5,-79.875,13.125,3940
27,6.75,-79.875,13.125,3940
28,7.0,-79.875,13.125,3940
29,7.25,-79.875,13.125,3940
30,7.5,-79.875,13.125,3940
31,7.75,-79.875,13.125,3940
32,8.0,-79.875,13.125,3940
33,8.25,-79.875,13.125,3940
34,8.5,-79.875,13.125,3940
35,8.75,-79.875,13.125,3940
36,9.0,-79.875,13.375,3941
37,9.25,-79.875,13.375,3941
38,9.5,-79.625,13.375,4013
39,9.75,-79.625,13.375,4013
40,10.0,-79.625,13.375,4013
41,10.25,-79.625,13.375,4013
42,10.5,-79.625,13.375,4013
43,10.75,-79.625,13.375,4013
44,11.0,-79.625,13.375,4013
45,11.25,-79.625,13.375,4013
46,11.5,-79.625,13.375,4013
47,11.75,-79.625,13.375,4013
48,12.0,-79.625,13.375,4013
49,12.25,-79.625,13.625,4014
50,12.5,-79.625,13.625,4014
51,12.75,-79.625,13.625,4014
52,13.0,-79.375,13.625,4086
53,13.25,-79.375,13.625,4086
54,13.5,-79.375,13.625,4086
55,13.75,-79.375,13.625,4086
56,14.0,-79.375,13.625,4086
57,14.25,-79.375,13.625,4086
58,14.5,-79.375,13.625,4086
59,14.75,-79.375,13.625,4086
60,15.0,-79.375,13.625,4086
61,15.25,-79.375,13.625,4086
62,15.5,-79.375,13.625,4086
63,15.75,-79.375,13.875,4087
64,16.0,-79.375,13.875,4087
65,16.25,-79.375,13.875,4087
66,16.5,-79.125,13.875,4159
67,16.75,-79.125,13.875,4159
68,17.0,-79.125,13.875,4159
69,17.25,-79.125,13.875,4159
70,17.5,-79.125,13.875,4159
71,17.75,-79.125,13.875,4159
72,18.0,-79.125,13.875,4159
73,18.25,-79.125,13.875,4159
74,18.5,-79.125,13.875,4159
75,18.75,-79.125,13.875,4159
76,19.0,-79.125,13.875,4159
77,19.25,-79.125,14.125,4160
78,19.5,-79.125,14.125,4160
79,19.75,-78.875,14.125,4232
80,20.0,-78.875,14.125,4232
81,20.25,-78.875,14.125,4232
82,20.5,-78.875,14.125,4232
83,20.75,-78.875,14.125,4232
84,21.0,-78.875,14.125,4232
85,21.25,-78.875,14.125,4232
86,21.5,-78.875,14.125,4232
87,21.75,-78.875,14.125,4232
88,22.0,-78.875,14.125,4232
89,22.25,-78.875,14.125,4232
90,22.5,-78.875,14.125,4232
91,22.75,-78.875,14.125,4232
92,23.0,-78.875,13.875,4231
93,23.25,-79.125,13.875,4159
94,23.5,-79.125,13.625,4158
95,23.75,-79.125,13.625,4158
96,24.0,-79.125,13.375,4157
97,24.25,-79.125,13.375,4157
98,24.5,-79.375,13.375,4085
99,24.75,-79.375,13.125,4084
100,25.0,-79.375,13.125,4084
101,25.25,-79.375,12.875,4083
102,25.5,-79.375,12.875,4083
103,25.75,-79.375,12.625,4082
104,26.0,-79.625,12.625,4010
105,26.25,-79.625,12.625,4010
106,26.5,-79.625,12.625,4010
107,26.75,-79.625,12.625,4010
108,27.0,-79.625,12.625,4010
109,27.25,-79.625,12.625,4010
110,27.5,-79.625,12.625,4010
111,27.75,-79.625,12.625,4010
112,28.0,-79.625,12.625,4010
113,28.25,-79.625,12.625,4010
114,28.5,-79.625,12.625,4010
115,28.75,-79.625,12.625,4010
116,29.0,-79.625,12.625,4010
117,29.25,-79.625,12.625,4010
118,29.5,-79.625,12.625,4010
119,29.75,-79.625,12.625,4010
120,30.0,-79.625,12.625,4010
121,30.25,-79.625,12.625,4010
122,30.5,-79.625,12.625,4010
123,30.75,-79.625,12.625,4010
124,31.0,-79.625,12.625,4010
125,31.25,-79.625,12.625,4010
126,31.5,-79.625,12.625,4010
127,31.75,-79.625,12.625,4010
128,32.0,-79.625,12.625,4010
129,32.25,-79.625,12.625,4010
130,32.5,-79.625,12.625,4010
131,32.75,-79.375,12.625,4082
132,33.0,-79.375,12.625,4082
133,33.25,-79.375,12.625,4082
134,33.5,-79.375,12.625,4082
135,33.75,-79.375,12.625,4082
136,34.0,-79.375,12.625,4082
137,34.25,-79.375,12.625,4082
138,34.5,-79.375,12.625,4082
139,34.75,-79.375,12.625,4082
140,35.0,-79.375,12.625,4082
141,35.25,-79.375,12.625,4082
142,35.5,-79.375,12.625,4082
143,35.75,-79.375,12.625,4082
144,36.0,-79.125,12.625,4154
145,36.25,-79.125,12.625,4154
146,36.5,-79.125,12.625,4154
147,36.75,-79.125,12.625,4154
148,37.0,-79.125,12.625,4154
149,37.25,-79.125,12.625,4154
150,37.5,-79.125,12.625,4154
151,37.75,-79.125,12.625,4154
152,38.0,-79.125,12.625,4154
153,38.25,-79.125,12.625,4154
154,38.5,-79.125,12.625,4154
155,38.75,-79.125,12.625,4154
156,39.0,-79.125,12.625,4154
157,39.25,-79.125,12.625,4154
158,39.5,-78.875,12.625,4226
159,39.75,-78.875,12.625,4226
160,40.0,-78.875,12.625,4226
161,40.25,-78.875,12.625,4226
162,40.5,-78.875,12.625,4226
163,40.75,-78.875,12.625,4226
164,41.0,-78.875,12.625,4226
165,41.25,-78.875,12.625,4226
166,41.5,-78.875,12.625,4226
167,41.75,-78.875,12.625,4226
168,42.0,-78.875,12.625,4226
169,42.25,-78.875,12.625,4226
170,42.5,-78.875,12.625,4226
171,42.75,-78.625,12.625,4298
172,43.0,-78.625,12.625,4298
173,43.25,-78.625,12.625,4298
174,43.5,-78.625,12.625,4298
175,43.75,-78.625,12.625,4298
176,44.0,-78.625,12.625,4298
177,44.25,-78.625,12.625,4298
178,44.5,-78.625,12.625,4298
179,44.75,-78.625,12.625,4298
180,45.0,-78.625,12.625,4298
181,45.25,-78.625,12.625,4298
182,45.5,-78.625,12.625,4298
183,45.75,-78.625,12.625,4298
184,46.0,-78.625,12.625,4298
185,46.25,-78.375,12.625,4370
186,46.5,-78.375,12.625,4370
187,46.75,-78.375,12.625,4370
188,47.0,-78.375,12.625,4370
189,47.25,-78.375,12.625,4370
190,47.5,-78.375,12.625,4370
191,47.75,-78.375,12.625,4370
192,48.0,-78.375,12.625,4370
193,48.25,-78.375,12.625,4370
194,48.5,-78.375,12.625,4370
195,48.75,-78.375,12.625,4370
196,49.0,-78.375,12.625,4370
197,49.25,-78.375,12.625,4370
198,49.5,-78.125,12.625,4442
199,49.75,-78.125,12.625,4442
