,Time,Latitude,Longitude
0,0.0,12.0,-90.64
1,0.25,12.000000000000002,-90.54020918792432
2,0.5,12.0,-90.44041837584862
3,0.75,12.0,-90.34062756377293
4,1.0,12.0,-90.24083675169723
5,1.25,12.0,-90.14104593962153
6,1.5,12.000000000000002,-90.04125512754584
7,1.75,12.000000000000002,-89.94146431547014
8,2.0,12.0,-89.84167350339445
9,2.25,12.0,-89.74188269131876
10,2.5,12.0,-89.64209187924307
11,2.75,12.0,-89.54230106716737
12,3.0,12.0,-89.44251025509169
13,3.25,12.0,-89.342719443016
14,3.5,12.0,-89.2429286309403
15,3.75,12.0,-89.1431378188646
16,4.0,12.0,-89.0433470067889
17,4.25,12.0,-88.94355619471321
18,4.5,12.0,-88.84376538263751
19,4.75,12.0,-88.74397457056183
20,5.0,12.0,-88.64418375848612
21,5.25,12.0,-88.54439294641044
22,5.5,12.000000000000002,-88.44460213433474
23,5.75,12.0,-88.34481132225905
24,6.0,12.0,-88.24502051018335
25,6.25,12.0,-88.14522969810767
26,6.5,11.991947841442611,-88.07044477184522
27,6.75,11.968698259784238,-88.0428552682773
28,7.0,11.945448678125864,-88.01526576470937
29,7.25,11.92219909646749,-87.98767626114143
30,7.5,11.898949514809116,-87.96008675757348
31,7.75,11.875699933150743,-87.93249725400554
32,8.0,11.852450351492369,-87.9049077504376
33,8.25,11.829200769833998,-87.87731824686968
34,8.5,11.805951188175623,-87.84972874330174
35,8.75,11.78270160651725,-87.8221392397338
36,9.0,11.759452024858875,-87.79454973616586
37,9.25,11.736202443200503,-87.76696023259792
38,9.5,11.71295286154213,-87.73937072902999
39,9.75,11.689703279883755,-87.71178122546206
40,10.0,11.666453698225382,-87.68419172189411
41,10.25,11.64320411656701,-87.65660221832619
42,10.5,11.619954534908636,-87.62901271475823
43,10.75,11.596704953250264,-87.60142321119031
44,11.0,11.573455371591889,-87.57383370762237
45,11.25,11.550205789933514,-87.54624420405443
46,11.5,11.526956208275141,-87.5186547004865
47,11.75,11.503706626616768,-87.49106519691856
48,12.0,11.480457044958396,-87.46347569335062
49,12.25,11.457207463300021,-87.43588618978268
50,12.5,11.433957881641648,-87.40829668621475
51,12.75,11.410708299983275,-87.3807071826468
52,13.0,11.387458718324902,-87.35311767907888
53,13.25,11.364209136666528,-87.32552817551094
54,13.5,11.340959555008157,-87.29793867194302
55,13.75,11.317709973349782,-87.27034916837508
56,14.0,11.294460391691409,-87.24275966480714
57,14.25,11.271210810033036,-87.2151701612392
58,14.5,11.25,-87.19875072417595
59,14.75,11.25,-87.29854153633462
60,15.0,11.25,-87.3983323484933
61,15.25,11.250000000000002,-87.49812316065199
62,15.5,11.25,-87.59791397281066
63,15.75,11.25,-87.69770478496933
64,16.0,11.25,-87.79749559712802
65,16.25,11.25,-87.89728640928669
66,16.5,11.250000000000002,-87.99707722144538
67,16.75,11.25,-88.09686803360405
68,17.0,11.25,-88.19665884576273
69,17.25,11.25,-88.29644965792141
70,17.5,11.25,-88.39624047008009
71,17.75,11.25,-88.49603128223876
72,18.0,11.25,-88.59582209439745
73,18.25,11.25,-88.69561290655614
74,18.5,11.25,-88.79540371871481
75,18.75,11.25,-88.89519453087348
76,19.0,11.25,-88.99498534303216
77,19.25,11.25,-89.09477615519083
78,19.5,11.25,-89.19456696734952
79,19.75,11.25,-89.2943577795082
80,20.0,11.25,-89.39414859166686
81,20.25,11.25,-89.49393940382555
82,20.5,11.25,-89.59373021598424
83,20.75,11.25,-89.69352102814291
84,21.0,11.25,-89.79331184030158
85,21.25,11.25,-89.89310265246027
86,21.5,11.25,-89.99289346461896
87,21.75,11.25,-90.09268427677763
88,22.0,11.25,-90.1924750889363
89,22.25,11.25,-90.29226590109498
90,22.5,11.25,-90.39205671325368
91,22.75,11.25,-90.49184752541234
92,23.0,11.25,-90.59163833757101
93,23.25,11.25,-90.6914291497297
94,23.5,11.250000000000002,-90.79121996188837
95,23.75,11.25,-90.89101077404706
96,24.0,11.25,-90.99080158620573
97,24.25,11.235317514639524,-91.03199681800903
98,24.5,11.2111366408306,-91.03528541684703
99,24.75,11.186955767021676,-91.03857401568506
100,25.0,11.162774893212754,-91.04186261452307
101,25.25,11.13859401940383,-91.04515121336107
102,25.5,11.114413145594906,-91.04843981219909
103,25.75,11.090232271785984,-91.05172841103712
104,26.0,11.06605139797706,-91.05501700987513
105,26.25,11.041870524168136,-91.05830560871313
106,26.5,11.017689650359213,-91.06159420755115
107,26.75,10.99350877655029,-91.06488280638916
108,27.0,10.969327902741364,-91.06817140522716
109,27.25,10.945147028932443,-91.07146000406519
110,27.5,10.920966155123518,-91.07474860290321
111,27.75,10.896785281314594,-91.07803720174121
112,28.0,10.872604407505671,-91.08132580057924
113,28.25,10.848423533696748,-91.08461439941725
114,28.5,10.824242659887824,-91.08790299825526
115,28.75,10.8000617860789,-91.09119159709326
116,29.0,10.775880912269978,-91.09448019593128
117,29.25,10.751700038461053,-91.09776879476931
118,29.5,10.72751916465213,-91.1010573936073
119,29.75,10.703338290843206,-91.10434599244533
120,30.0,10.679157417034283,-91.10763459128333
121,30.25,10.65497654322536,-91.11092319012135
122,30.5,10.630795669416436,-91.11421178895938
123,30.75,10.606614795607511,-91.11750038779738
124,31.0,10.582433921798588,-91.1207889866354
125,31.25,10.558253047989664,-91.1240775854734
126,31.5,10.534072174180743,-91.12736618431143
127,31.75,10.509891300371818,-91.13065478314944
128,32.0,10.485710426562893,-91.13394338198745
129,32.25,10.46152955275397,-91.13723198082546
130,32.5,10.437348678945046,-91.14052057966347
131,32.75,10.413167805136123,-91.14380917850148
132,33.0,10.3889869313272,-91.14709777733951
133,33.25,10.364806057518276,-91.15038637617752
134,33.5,10.340625183709353,-91.15367497501552
135,33.75,10.31644430990043,-91.15696357385355
136,34.0,10.292263436091506,-91.16025217269154
137,34.25,10.268082562282581,-91.16354077152957
138,34.5,10.24390168847366,-91.16682937036758
139,34.75,10.219720814664736,-91.1701179692056
140,35.0,10.195539940855811,-91.17340656804362
141,35.25,10.171359067046888,-91.17669516688161
142,35.5,10.147178193237965,-91.17998376571964
143,35.75,10.12299731942904,-91.18327236455767
144,36.0,10.098816445620116,-91.18656096339566
145,36.25,10.074635571811195,-91.18984956223368
