,Time,dlat,dlon,Latitude,Longitude,Drone
0,0.0,0.0,0.0,7.863419883,-88.36839904,67
1,0.25,0.0,0.0,7.858757838,-88.36535784,67
2,0.5,0.0,0.0,7.854095792,-88.36231664,67
3,0.75,0.0,0.0,7.849433747,-88.35927544,67
4,1.0,0.0,0.0,7.844771701,-88.35623425,67
5,1.25,0.0,0.0,7.840109656,-88.35319305,67
6,1.5,0.0,0.0,7.83544761,-88.35015185,67
7,1.75,0.0,0.0,7.830785565,-88.34711065,67
8,2.0,0.0,0.0,7.826123519,-88.34406945,67
9,2.25,0.0,0.0,7.821461474,-88.34102826,67
10,2.5,0.0,0.0,7.816799428,-88.33798706,67
11,2.75,0.0,0.0,7.812137383,-88.33494586,67
12,3.0,0.0,0.0,7.807475337,-88.33190466,67
13,3.25,0.0,0.0,7.802813292,-88.32886346,67
14,3.5,0.0,0.0,7.798151246,-88.32582226,67
15,3.75,0.0,0.0,7.793489201,-88.32278107,67
16,4.0,0.0,0.0,7.788827156,-88.31973987,67
17,4.25,0.0,0.0,7.78416511,-88.31669867,67
18,4.5,0.0,0.0,7.779503065,-88.31365747,67
19,4.75,0.0,0.0,7.774841019,-88.31061627,67
20,5.0,0.0,0.0,7.770178974,-88.30757508,67
21,5.25,0.0,0.0,7.765516928,-88.30453388,67
22,5.5,0.0,0.0,7.760854883,-88.30149268,67
23,5.75,0.0,0.0,7.756192837,-88.29845148,67
24,6.0,0.0,0.0,7.751530792,-88.29541028,67
25,6.25,0.0,0.0,7.746868746,-88.29236908,67
26,6.5,0.0,0.0,7.742206701,-88.28932789,67
27,6.75,0.0,0.0,7.737544655,-88.28628669,67
28,7.0,0.0,0.0,7.73288261,-88.28324549,67
29,7.25,0.0,0.0,7.728220564,-88.28020429,67
30,7.5,0.0,0.0,7.723558519,-88.27716309,67
31,7.75,0.0,0.0,7.718896473,-88.2741219,67
32,8.0,0.0,0.0,7.714234428,-88.2710807,67
33,8.25,0.0,0.0,7.709572382,-88.2680395,67
34,8.5,0.0,0.0,7.704910337,-88.2649983,67
35,8.75,0.0,0.0,7.700248291,-88.2619571,67
36,9.0,0.0,0.0,7.695586246,-88.2589159,67
37,9.25,0.0,0.0,7.6909242,-88.25587471,67
38,9.5,0.0,0.0,7.686262155,-88.25283351,67
39,9.75,0.0,0.0,7.681600109,-88.24979231,67
40,10.0,0.0,0.0,7.676938064,-88.24675111,67
41,10.25,0.0,0.0,7.672276018,-88.24370991,67
42,10.5,0.0,0.0,7.667613973,-88.24066872,67
43,10.75,0.0,0.0,7.662951927,-88.23762752,67
44,11.0,0.0,0.0,7.658289882,-88.23458632,67
45,11.25,0.0,0.0,7.653627836,-88.23154512,67
46,11.5,0.0,0.0,7.648965791,-88.22850392,67
47,11.75,0.0,0.0,7.644303745,-88.22546272,67
48,12.0,0.0,0.0,7.6396417,-88.22242153,67
49,12.25,0.0,0.0,7.634979654,-88.21938033,67
50,12.5,0.0,0.0,7.630317609,-88.21633913,67
51,12.75,0.0,0.0,7.625655563,-88.21329793,67
52,13.0,0.0,0.0,7.620993518,-88.21025673,67
53,13.25,0.0,0.0,7.616331472,-88.20721554,67
54,13.5,0.0,0.0,7.611669427,-88.20417434,67
55,13.75,0.0,0.0,7.607007381,-88.20113314,67
56,14.0,0.0,0.0,7.602345336,-88.19809194,67
57,14.25,0.0,0.0,7.59768329,-88.19505074,67
58,14.5,0.0,0.0,7.593021245,-88.19200954,67
59,14.75,0.0,0.0,7.588359199,-88.18896835,67
60,15.0,0.0,0.0,7.583697154,-88.18592715,67
61,15.25,0.0,0.0,7.579035108,-88.18288595,67
62,15.5,0.0,0.0,7.574373063,-88.17984475,67
63,15.75,0.0,0.0,7.569711017,-88.17680355,67
64,16.0,0.0,0.0,7.565048972,-88.17376235,67
65,16.25,0.0,0.0,7.560386926,-88.17072116,67
66,16.5,0.0,0.0,7.555724881,-88.16767996,67
67,16.75,0.0,0.0,7.551062835,-88.16463876,67
68,17.0,0.0,0.0,7.54640079,-88.16159756,67
69,17.25,0.0,0.0,7.541738744,-88.15855636,67
70,17.5,0.0,0.0,7.537076699,-88.15551517,67
71,17.75,0.0,0.0,7.532414653,-88.15247397,67
72,18.0,0.0,0.0,7.527752608,-88.14943277,67
73,18.25,0.0,0.0,7.523090562,-88.14639157,67
74,18.5,0.0,0.0,7.518428517,-88.14335037,67
75,18.75,0.0,0.0,7.513766471,-88.14030917,67
76,19.0,0.0,0.0,7.509104426,-88.13726798,67
77,19.25,0.0,0.0,7.504442381,-88.13422678,67
78,19.5,0.0,0.0,7.499780335,-88.13118558,67
79,19.75,0.0,0.0,7.49511829,-88.12814438,67
80,20.0,0.0,0.0,7.490456244,-88.12510318,67
81,20.25,0.0,0.0,7.485794199,-88.12206199,67
82,20.5,0.0,0.0,7.481132153,-88.11902079,67
83,20.75,0.0,0.0,7.476470108,-88.11597959,67
84,21.0,0.0,0.0,7.471808062,-88.11293839,67
85,21.25,0.0,0.0,7.467146017,-88.10989719,67
86,21.5,0.0,0.0,7.462483971,-88.10685599,67
87,21.75,0.0,0.0,7.457821926,-88.1038148,67
88,22.0,0.0,0.0,7.45315988,-88.1007736,67
89,22.25,0.0,0.0,7.448497835,-88.0977324,67
90,22.5,0.0,0.0,7.443835789,-88.0946912,67
91,22.75,0.0,0.0,7.439173744,-88.09165,67
92,23.0,0.0,0.0,7.434511698,-88.08860881,67
93,23.25,0.0,0.0,7.429849653,-88.08556761,67
94,23.5,0.0,0.0,7.425187607,-88.08252641,67
95,23.75,0.0,0.0,7.420525562,-88.07948521,67
96,24.0,0.0,0.0,7.415863516,-88.07644401,67
97,24.25,0.0,0.0,7.411201471,-88.07340281,67
98,24.5,0.0,0.0,7.406539425,-88.07036162,67
99,24.75,0.0,0.0,7.40187738,-88.06732042,67
100,25.0,0.0,0.0,7.397215334,-88.06427922,67
101,25.25,0.0,0.0,7.392553289,-88.06123802,67
102,25.5,0.0,0.0,7.387891243,-88.05819682,67
103,25.75,0.0,0.0,7.383229198,-88.05515563,67
104,26.0,0.0,0.0,7.378567152,-88.05211443,67
105,26.25,0.0,0.0,7.373905107,-88.04907323,67
106,26.5,0.0,0.0,7.369243061,-88.04603203,67
107,26.75,0.0,0.0,7.364581016,-88.04299083,67
108,27.0,0.0,0.0,7.35991897,-88.03994963,67
109,27.25,0.0,0.0,7.355256925,-88.03690844,67
110,27.5,0.0,0.0,7.350594879,-88.03386724,67
111,27.75,0.0,0.0,7.345932834,-88.03082604,67
112,28.0,0.0,0.0,7.341270788,-88.02778484,67
113,28.25,0.0,0.0,7.336608743,-88.02474364,67
114,28.5,0.0,0.0,7.331946697,-88.02170245,67
115,28.75,0.0,0.0,7.327284652,-88.01866125,67
116,29.0,0.0,0.0,7.322622606,-88.01562005,67
117,29.25,0.0,0.0,7.317960561,-88.01257885,67
118,29.5,0.0,0.0,7.313298515,-88.00953765,67
119,29.75,0.0,0.0,7.30863647,-88.00649645,67
120,30.0,0.0,0.0,7.303974424,-88.00345526,67
121,30.25,0.0,0.0,7.299312379,-88.00041406,67
122,30.5,0.0,0.0,7.294650333,-87.99737286,67
123,30.75,0.0,0.0,7.289988288,-87.99433166,67
124,31.0,0.0,0.0,7.285326242,-87.99129046,67
125,31.25,0.0,0.0,7.280664197,-87.98824927,67
126,31.5,0.0,0.0,7.276002151,-87.98520807,67
127,31.75,0.0,0.0,7.271340106,-87.98216687,67
128,32.0,0.0,0.0,7.26667806,-87.97912567,67
129,32.25,0.0,0.0,7.262016015,-87.97608447,67
130,32.5,0.0,0.0,7.257353969,-87.97304327,67
131,32.75,0.0,0.0,7.252691924,-87.97000208,67
132,33.0,0.0,0.0,7.248029878,-87.96696088,67
133,33.25,0.0,0.0,7.243367833,-87.96391968,67
134,33.5,0.0,0.0,7.238705787,-87.96087848,67
135,33.75,0.0,0.0,7.234043742,-87.95783728,67
136,34.0,0.0,0.0,7.229381696,-87.95479608,67
137,34.25,0.0,0.0,7.224719651,-87.95175489,67
138,34.5,0.0,0.0,7.220057606,-87.94871369,67
139,34.75,0.0,0.0,7.21539556,-87.94567249,67
140,35.0,0.0,0.0,7.210733515,-87.94263129,67
141,35.25,0.0,0.0,7.206071469,-87.93959009,67
142,35.5,0.0,0.0,7.201409424,-87.9365489,67
143,35.75,0.0,0.0,7.196747378,-87.9335077,67
144,36.0,0.0,0.0,7.192085333,-87.9304665,67
145,36.25,0.0,0.0,7.187423287,-87.9274253,67
146,36.5,0.0,0.0,7.182761242,-87.9243841,67
147,36.75,0.0,0.0,7.178099196,-87.9213429,67
