,Unnamed: 0,column,row,ids,heading,velocity,freeboard,Steps,Unnamed: 0.1,geometry,Longitude,Latitude,time,time15,time30
0,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,0.0,0.0,0.0
1,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,0.0,0.25,0.0
2,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,0.0,0.5,0.5
3,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,1.0,0.75,1.0
4,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,1.0,1.0,1.0
5,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,1.0,1.25,1.0
6,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,2.0,1.5,1.5
7,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,2.0,1.75,2.0
8,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,2.0,2.0,2.0
9,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,2.0,2.25,2.0
10,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,2.0,2.5,2.5
11,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,3.0,2.75,3.0
12,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,3.0,3.0,3.0
13,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,3.0,3.25,3.0
14,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,4.0,3.5,3.5
15,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,4.0,3.75,4.0
16,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,4.0,4.0,4.0
17,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,4.0,4.25,4.0
18,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,4.0,4.5,4.5
19,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,5.0,4.75,5.0
20,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,5.0,5.0,5.0
21,0,22,6,461,0,56,2700 kg,0,461,POINT (-80.3125 0.6979166666666663),-80.3125,0.6979166666666663,5.0,5.25,5.0
22,1,22,7,462,0,56,2701 kg,1,462,POINT (-80.3125 1.552083333333333),-80.3125,1.552083333333333,6.0,5.5,5.5
23,1,22,7,462,0,56,2701 kg,1,462,POINT (-80.3125 1.552083333333333),-80.3125,1.552083333333333,6.0,5.75,6.0
24,1,22,7,462,0,56,2701 kg,1,462,POINT (-80.3125 1.552083333333333),-80.3125,1.552083333333333,6.0,6.0,6.0
25,1,22,7,462,0,56,2701 kg,1,462,POINT (-80.3125 1.552083333333333),-80.3125,1.552083333333333,6.0,6.25,6.0
26,1,22,7,462,0,56,2701 kg,1,462,POINT (-80.3125 1.552083333333333),-80.3125,1.552083333333333,6.0,6.5,6.5
27,2,22,8,463,270,56,2702 kg,2,463,POINT (-80.3125 2.406249999999999),-80.3125,2.4062499999999987,7.0,6.75,7.0
28,2,22,8,463,270,56,2702 kg,2,463,POINT (-80.3125 2.406249999999999),-80.3125,2.4062499999999987,7.0,7.0,7.0
29,2,22,8,463,270,56,2702 kg,2,463,POINT (-80.3125 2.406249999999999),-80.3125,2.4062499999999987,7.0,7.25,7.0
30,3,21,8,439,0,56,2703 kg,3,439,POINT (-81.27083333333334 2.406249999999999),-81.27083333333334,2.4062499999999987,8.0,7.5,7.5
31,3,21,8,439,0,56,2703 kg,3,439,POINT (-81.27083333333334 2.406249999999999),-81.27083333333334,2.4062499999999987,8.0,7.75,8.0
