,time,crumb_id,geometry,Longitude,Latitude,Iteration
0,0,0,POINT (-91.24487000000001 4.7430395),-91.24487,4.7430395,track_50
1,1,1,POINT (-91.24487000000001 3.8630395),-91.24487,3.8630395,track_50
2,2,2,POINT (-90.31487 3.8630395),-90.31487,3.8630395,track_50
3,3,3,POINT (-90.31487 4.7430395),-90.31487,4.7430395,track_50
4,4,4,POINT (-89.38487000000001 4.7430395),-89.38487,4.7430395,track_50
5,5,5,POINT (-90.31487 4.7430395),-90.31487,4.7430395,track_50
6,6,6,POINT (-89.38487000000001 4.7430395),-89.38487,4.7430395,track_50
7,7,7,POINT (-89.38487000000001 5.6230395),-89.38487,5.6230395,track_50
8,8,8,POINT (-89.38487000000001 6.5030395),-89.38487,6.5030395,track_50
9,9,9,POINT (-90.31487 6.5030395),-90.31487,6.5030395,track_50
10,10,10,POINT (-89.38487000000001 6.5030395),-89.38487,6.5030395,track_50
11,11,11,POINT (-89.38487000000001 5.6230395),-89.38487,5.6230395,track_50
12,12,12,POINT (-88.45487 5.6230395),-88.45487,5.6230395,track_50
13,13,13,POINT (-88.45487 6.5030395),-88.45487,6.5030395,track_50
14,14,14,POINT (-88.45487 5.6230395),-88.45487,5.6230395,track_50
15,15,15,POINT (-89.38487000000001 5.6230395),-89.38487,5.6230395,track_50
16,16,16,POINT (-89.38487000000001 6.5030395),-89.38487,6.5030395,track_50
17,17,17,POINT (-88.45487 6.5030395),-88.45487,6.5030395,track_50
18,18,18,POINT (-89.38487000000001 6.5030395),-89.38487,6.5030395,track_50
19,19,19,POINT (-90.31487 6.5030395),-90.31487,6.5030395,track_50
20,20,20,POINT (-89.38487000000001 6.5030395),-89.38487,6.5030395,track_50
21,21,21,POINT (-89.38487000000001 7.3830395),-89.38487,7.3830395,track_50
22,22,22,POINT (-88.45487 7.3830395),-88.45487,7.3830395,track_50
23,23,23,POINT (-89.38487000000001 7.3830395),-89.38487,7.3830395,track_50
24,24,24,POINT (-89.38487000000001 6.5030395),-89.38487,6.5030395,track_50
25,25,25,POINT (-90.31487 6.5030395),-90.31487,6.5030395,track_50
26,26,26,POINT (-91.24487000000001 6.5030395),-91.24487,6.5030395,track_50
27,27,27,POINT (-91.24487000000001 5.6230395),-91.24487,5.6230395,track_50
28,28,28,POINT (-92.17487 5.6230395),-92.17487,5.6230395,track_50
29,29,29,POINT (-93.10487000000001 5.6230395),-93.10487,5.6230395,track_50
30,30,30,POINT (-93.10487000000001 6.5030395),-93.10487,6.5030395,track_50
31,31,31,POINT (-93.10487000000001 7.3830395),-93.10487,7.3830395,track_50
32,32,32,POINT (-93.10487000000001 8.2630395),-93.10487,8.2630395,track_50
33,33,33,POINT (-92.17487 8.2630395),-92.17487,8.2630395,track_50
34,34,34,POINT (-92.17487 9.1430395),-92.17487,9.1430395,track_50
35,35,35,POINT (-92.17487 10.0230395),-92.17487,10.0230395,track_50
36,36,36,POINT (-92.17487 9.1430395),-92.17487,9.1430395,track_50
37,37,37,POINT (-93.10487000000001 9.1430395),-93.10487,9.1430395,track_50
38,38,38,POINT (-94.03487 9.1430395),-94.03487,9.1430395,track_50
39,39,39,POINT (-94.96487 9.1430395),-94.96487,9.1430395,track_50
40,40,40,POINT (-95.89487 9.1430395),-95.89487,9.1430395,track_50
41,41,41,POINT (-94.96487 9.1430395),-94.96487,9.1430395,track_50
42,42,42,POINT (-94.03487 9.1430395),-94.03487,9.1430395,track_50
43,43,43,POINT (-94.96487 9.1430395),-94.96487,9.1430395,track_50
44,44,44,POINT (-94.96487 8.2630395),-94.96487,8.2630395,track_50
45,45,45,POINT (-94.96487 9.1430395),-94.96487,9.1430395,track_50
46,46,46,POINT (-94.03487 9.1430395),-94.03487,9.1430395,track_50
47,47,47,POINT (-93.10487000000001 9.1430395),-93.10487,9.1430395,track_50
48,48,48,POINT (-93.10487000000001 8.2630395),-93.10487,8.2630395,track_50
49,49,49,POINT (-93.10487000000001 7.3830395),-93.10487,7.3830395,track_50
50,50,50,POINT (-92.17487 7.3830395),-92.17487,7.3830395,track_50
51,51,51,POINT (-92.17487 8.2630395),-92.17487,8.2630395,track_50
52,52,52,POINT (-92.17487 7.3830395),-92.17487,7.3830395,track_50
53,53,53,POINT (-92.17487 6.5030395),-92.17487,6.5030395,track_50
54,54,54,POINT (-92.17487 5.6230395),-92.17487,5.6230395,track_50
55,55,55,POINT (-93.10487000000001 5.6230395),-93.10487,5.6230395,track_50
56,56,56,POINT (-93.10487000000001 6.5030395),-93.10487,6.5030395,track_50
57,57,57,POINT (-92.17487 6.5030395),-92.17487,6.5030395,track_50
58,58,58,POINT (-91.24487000000001 6.5030395),-91.24487,6.5030395,track_50
59,59,59,POINT (-91.24487000000001 5.6230395),-91.24487,5.6230395,track_50
60,60,60,POINT (-90.31487 5.6230395),-90.31487,5.6230395,track_50
61,61,61,POINT (-90.31487 4.7430395),-90.31487,4.7430395,track_50
62,62,62,POINT (-91.24487000000001 4.7430395),-91.24487,4.7430395,track_50
63,63,63,POINT (-91.24487000000001 3.8630395),-91.24487,3.8630395,track_50
64,64,64,POINT (-92.17487 3.8630395),-92.17487,3.8630395,track_50
65,65,65,POINT (-93.10487000000001 3.8630395),-93.10487,3.8630395,track_50
66,66,66,POINT (-93.10487000000001 4.7430395),-93.10487,4.7430395,track_50
67,67,67,POINT (-93.10487000000001 5.6230395),-93.10487,5.6230395,track_50
68,68,68,POINT (-92.17487 5.6230395),-92.17487,5.6230395,track_50
69,69,69,POINT (-92.17487 6.5030395),-92.17487,6.5030395,track_50
70,70,70,POINT (-92.17487 5.6230395),-92.17487,5.6230395,track_50
71,71,71,POINT (-93.10487000000001 5.6230395),-93.10487,5.6230395,track_50
72,72,72,POINT (-93.10487000000001 6.5030395),-93.10487,6.5030395,track_50
73,73,73,POINT (-94.03487 6.5030395),-94.03487,6.5030395,track_50
74,74,74,POINT (-94.03487 7.3830395),-94.03487,7.3830395,track_50
75,75,75,POINT (-94.03487 8.2630395),-94.03487,8.2630395,track_50
76,76,76,POINT (-94.03487 7.3830395),-94.03487,7.3830395,track_50
77,77,77,POINT (-93.10487000000001 7.3830395),-93.10487,7.3830395,track_50
78,78,78,POINT (-93.10487000000001 6.5030395),-93.10487,6.5030395,track_50
79,79,79,POINT (-93.10487000000001 7.3830395),-93.10487,7.3830395,track_50
80,80,80,POINT (-92.17487 7.3830395),-92.17487,7.3830395,track_50
81,81,81,POINT (-92.17487 8.2630395),-92.17487,8.2630395,track_50
82,82,82,POINT (-93.10487000000001 8.2630395),-93.10487,8.2630395,track_50
83,83,83,POINT (-93.10487000000001 7.3830395),-93.10487,7.3830395,track_50
84,84,84,POINT (-92.17487 7.3830395),-92.17487,7.3830395,track_50
85,85,85,POINT (-92.17487 6.5030395),-92.17487,6.5030395,track_50
86,86,86,POINT (-93.10487000000001 6.5030395),-93.10487,6.5030395,track_50
87,87,87,POINT (-93.10487000000001 7.3830395),-93.10487,7.3830395,track_50
88,88,88,POINT (-92.17487 7.3830395),-92.17487,7.3830395,track_50
89,89,89,POINT (-92.17487 8.2630395),-92.17487,8.2630395,track_50
90,90,90,POINT (-92.17487 7.3830395),-92.17487,7.3830395,track_50
91,91,91,POINT (-91.24487000000001 7.3830395),-91.24487,7.3830395,track_50
92,92,92,POINT (-91.24487000000001 6.5030395),-91.24487,6.5030395,track_50
93,93,93,POINT (-91.24487000000001 5.6230395),-91.24487,5.6230395,track_50
94,94,94,POINT (-91.24487000000001 4.7430395),-91.24487,4.7430395,track_50
95,95,95,POINT (-92.17487 4.7430395),-92.17487,4.7430395,track_50
96,96,96,POINT (-92.17487 3.8630395),-92.17487,3.8630395,track_50
97,97,97,POINT (-92.17487 2.9830395),-92.17487,2.9830395,track_50
98,98,98,POINT (-93.10487000000001 2.9830395),-93.10487,2.9830395,track_50
