Longitude,Latitude
-124.7860952,19.5196183
-124.803894,18.84682461
-124.8610706,18.50610205
-124.7806828,17.42596971
-124.9001085,17.04372023
-124.8549469,16.51832546
-124.832344,13.35953314
-124.9506904,13.13795533
-124.8695378,12.27523163
-124.8388587,11.66486735
-124.8914744,9.268472413
-124.8644871,7.849642183
-124.9096508,7.468648365
-124.8737067,6.477139215
-124.8783934,5.779454612
-124.9374434,5.445382843
-124.9114088,4.488767837
-124.9201175,3.917177979
-124.9195795,3.272429377
-124.933915,1.138335298
-124.9358408,0.8516481896
-124.9481067,0.5788960797
-125.0057846,-9.56068485
-125.0564891,-9.860457263
-125.0165775,-10.26134339
-125.0120004,-11.21086061
-125.0103035,-11.8807849
-124.8940887,17.93986527
-124.8222156,10.51825109
-124.8806108,1.825115481
-124.8344771,15.94138252
-124.7603887,12.47377704
-124.8677189,10.99275857
-124.7859816,5.039606253
-124.8905061,0.3520275022
-124.6315951,19.32452832
-124.7345117,9.077545936
-124.7586074,3.678371186
-124.6210035,8.578876907
-124.7578775,-10.9112468
-124.56745,19.45062306
-124.5216092,19.026342
-124.5728838,18.64171338
-124.5794363,17.66626347
-124.6544702,17.3688702
-124.5377596,16.62208266
-124.5579574,13.61529135
-124.6016224,13.1554024
-124.5711981,12.16193895
-124.6921869,11.75408533
-124.5964035,7.891938114
-124.60893,7.580383264
-124.5853761,7.359009381
-124.6058859,6.48031141
-124.6322743,6.17617723
-124.5870236,5.664066025
-124.5991949,5.301841027
-124.6152419,3.27540331
-124.763625,1.119302129
-124.7655428,0.8338045936
-124.73892,-9.699864899
-124.7579071,-10.11026761
-124.7148276,-11.54965102
-124.7535352,-11.87559404
-124.5291473,10.65571287
-124.5946122,2.722251835
-124.5880397,1.888559378
-124.7162837,-8.746223825
-124.6761786,-11.23243153
-124.4727852,8.173470406
-124.4791868,6.012412671
-124.5119883,5.055599402
-124.3692329,19.96478298
-124.5394022,12.75332671
-124.434811,8.994275821
-124.6001325,3.712571411
-124.6551095,-4.471691277
-124.685155,-8.944486003
-124.318056,20.33487238
-124.3114503,19.14371321
-124.3979111,3.010723303
-124.4388562,0.1771602616
-124.5129126,-5.048634214
-124.4132535,17.03578974
-124.3238023,8.606739351
-124.3697606,4.871555455
-124.5171344,1.571339894
-124.5644401,-5.470932652
-124.5705132,-6.375008182
-124.4946687,-10.61668585
-124.250102,16.67891782
-124.2479498,16.27446298
-124.3372873,13.84773393
-124.280589,12.32161082
-124.2919763,7.706893415
-124.3252706,7.352664991
-124.3387789,6.377215078
-124.3105447,3.331908031
-124.4255061,-10.15785053
-124.4184702,-10.92254775
-124.4896779,-11.73760356
-124.2881703,17.53541043
-124.2369047,10.6702521
-124.2796468,2.132818381
-124.4932684,-9.372732306
-124.3670513,-11.29304311
-124.1858876,13.1910896
-124.1805071,8.193296624
-124.2919633,6.098061932
-124.293977,5.798289519
-124.2717758,5.479087413
-124.2254156,5.132128603
-124.110614,20.04778874
-124.0759109,19.62226146
-124.1502485,9.073580692
-124.087888,19.08185541
-124.0539989,12.52929045
-124.0696667,11.23237257
-124.1437333,2.795014054
-124.1222451,2.369675596
-124.28263,0.239018061
-124.2705372,-5.209226578
-124.317257,-8.54003116
-124.233464,-12.01263285
-123.984167,17.1261973
